title,description,category,location,game_type,start_time,end_time,max_participants
"Pokémon TCG League Night","Cotygodniowe spotkanie graczy Pokémon TCG. Gry towarzyskie, wymiany kart oraz nauka zasad dla początkujących.","casual_play","Warszawa","Pokemon TCG","2025-12-02T17:00:00","2025-12-02T20:00:00",32
"Pokémon TCG Trade & Play Day","Dzień wymian i gier towarzyskich w Pokémon TCG. Idealne miejsce, by uzupełnić kolekcję i przetestować nowe talie.","casual_play","Krakow","Pokemon TCG","2025-12-08T12:00:00","2025-12-08T17:00:00",50
"Pokémon Theme Deck Battles","Spotkanie poświęcone grze taliami tematycznymi. Idealne dla nowych graczy i osób wracających po dłuższej przerwie.","casual_play","Wroclaw","Pokemon TCG","2025-12-14T13:00:00","2025-12-14T17:00:00",24
"MTG Modern Showdown","Turniej w formacie Modern dla zaawansowanych graczy. Nagrody pieniężne oraz ekskluzywne akcesoria.","tournament","Warszawa","Magic: The Gathering","2025-12-13T11:00:00","2025-12-13T18:00:00",32
"Casual Commander Night","Wieczór z formatem Commander (EDH) do Magic: The Gathering. Gry wieloosobowe, luźna atmosfera, brak sędziego.","casual_play","Poznan","Magic: The Gathering","2025-12-03T19:00:00","2025-12-03T23:00:00",28
"MTG Pauper League","Liga w formacie Pauper. Cotygodniowe spotkania, system ligowy, ranking i sezonowe nagrody.","league","Wroclaw","Magic: The Gathering","2025-12-04T18:00:00","2025-12-04T21:00:00",24
"Lorcana Launch Party","Premierowy event dla gry Disney Lorcana. Otwieranie nowych boosterów i pierwsze rozgrywki z nowym dodatkiem.","event","Warszawa","Disney Lorcana","2025-12-05T14:00:00","2025-12-05T19:00:00",40
"Lorcana Casual Night","Wieczór towarzyskiej gry w Disney Lorcana. Idealne dla początkujących i casual graczy.","casual_play","Krakow","Disney Lorcana","2025-12-08T18:00:00","2025-12-08T22:00:00",24
"Lorcana Storytelling Evening","Wieczór z Disney Lorcana połączony z opowiadaniem historii i klimatycznymi rozgrywkami dla całych rodzin.","event","Wroclaw","Disney Lorcana","2025-12-21T16:00:00","2025-12-21T20:00:00",30
"Yu-Gi-Oh! Local Tournament","Lokalny turniej Yu-Gi-Oh! w formacie Advanced. Nagrody w boosterach i akcesoriach.","tournament","Gdansk","Yu-Gi-Oh","2025-12-06T12:00:00","2025-12-06T18:00:00",32
"Yu-Gi-Oh! Casual Duels","Spotkanie dla graczy Yu-Gi-Oh! - gry towarzyskie i wymiany kart. Bez presji turniejowej.","casual_play","Poznan","Yu-Gi-Oh","2025-12-10T17:00:00","2025-12-10T21:00:00",28
"Yu-Gi-Oh! Rookie Day","Dzień dla początkujących graczy Yu-Gi-Oh! z nauką zasad i krótkimi pojedynkami.","event","Lodz","Yu-Gi-Oh","2025-12-09T15:00:00","2025-12-09T19:00:00",24
"Riftbound Arena Night","Wieczorne spotkanie z grą Riftbound – swobodne gry i testowanie nowych talii.","casual_play","Sopot","Riftbound","2025-12-03T18:00:00","2025-12-03T22:00:00",20
"Riftbound Ranked Showdown","Turniej rankingowy Riftbound dla zaawansowanych graczy.","tournament","Katowice","Riftbound","2025-12-13T11:00:00","2025-12-13T17:00:00",32
"Riftbound Beginner event","Warsztaty Riftbound dla nowych graczy – wprowadzenie do zasad i budowy talii.","event","Lublin","Riftbound","2025-12-07T12:00:00","2025-12-07T16:00:00",18
"One Piece TCG League Night","Liga One Piece TCG. Cotygodniowe spotkania z systemem rankingowym.","league","Wroclaw","One Piece","2025-12-04T18:00:00","2025-12-04T21:00:00",24
"One Piece TCG Tournament","Turniej One Piece TCG dla wszystkich poziomów zaawansowania. Nagrody dla Top 8.","tournament","Warszawa","One Piece","2025-12-14T11:00:00","2025-12-14T17:00:00",40
"One Piece Casual Sunday","Niedzielne, luźne granie w One Piece TCG z możliwością wymian kart.","casual_play","Sopot","One Piece","2025-12-21T13:00:00","2025-12-21T18:00:00",26
"Flesh and Blood Armory","Oficjalny event Armory dla gry Flesh and Blood. Format Blitz.","tournament","Krakow","Flesh and Blood","2025-12-07T12:00:00","2025-12-07T17:00:00",24
"Flesh and Blood Skirmish","Turniej Skirmish z limitem miejsc i nagrodami promocyjnymi.","tournament","Katowice","Flesh and Blood","2025-12-15T11:00:00","2025-12-15T16:00:00",32
"Flesh and Blood Casual Meetup","Spotkanie casualowe Flesh and Blood dla graczy na każdym poziomie zaawansowania.","casual_play","Poznan","Flesh and Blood","2025-12-19T17:00:00","2025-12-19T21:00:00",20
"Star Wars Unlimited Premiere","Premierowe rozgrywki nowej gry Star Wars Unlimited. Nauka zasad i pierwsze turnieje.","event","Gdansk","Star Wars Unlimited","2025-12-09T14:00:00","2025-12-09T19:00:00",32
"Star Wars Unlimited League Night","Wieczorna liga Star Wars Unlimited dla fanów uniwersum.","league","Szczecin","Star Wars Unlimited","2025-12-18T18:00:00","2025-12-18T22:00:00",24
"Star Wars Unlimited Draft Day","Dzień draftu Star Wars Unlimited z najnowszego dodatku.","tournament","Lodz","Star Wars Unlimited","2025-12-20T11:00:00","2025-12-20T17:00:00",32
"KeyForge Discovery Night","Wieczór z KeyForge – nauka zasad i pierwsze rozgrywki przy użyciu gotowych talii.","event","Lublin","KeyForge","2025-12-05T17:00:00","2025-12-05T21:00:00",18
"KeyForge Sealed Challenge","Turniej Sealed KeyForge – każdy gracz otrzymuje nową talię na miejscu.","tournament","Warszawa","KeyForge","2025-12-12T16:00:00","2025-12-12T20:00:00",32
"KeyForge Casual League","Luźna liga KeyForge z punktacją za uczestnictwo i dobrą zabawę.","league","Krakow","KeyForge","2025-12-10T18:00:00","2025-12-10T21:00:00",24
"Altered Premiere Event","Premierowy event gry Altered z nauką zasad i pierwszymi rozgrywkami.","event","Sopot","Altered","2025-12-06T13:00:00","2025-12-06T18:00:00",30
"Altered Casual Night","Wieczór casualowego grania w Altered – testowanie talii i swobodne gry.","casual_play","Wroclaw","Altered","2025-12-17T18:00:00","2025-12-17T22:00:00",24
"Altered Draft Trial","Mały draftowy turniej próbny w Altered dla ciekawskich nowego formatu.","tournament","Szczecin","Altered","2025-12-22T12:00:00","2025-12-22T17:00:00",20
"Trading Card Game Free Play Day","Dzień otwarty dla wszystkich gier karcianych kolekcjonerskich: Pokémon, Magic: The Gathering, Yu-Gi-Oh! i inne. Swobodne gry i wymiany.","casual_play","Gdansk","Other","2025-12-01T11:00:00","2025-12-01T19:00:00",60
"TCG New Players Open Day","Dzień otwarty dla nowych graczy wszystkich gier TCG – nauka zasad i pomoc w budowaniu talii.","event","Lodz","Other","2025-12-08T12:00:00","2025-12-08T18:00:00",40
"Holiday TCG Meetup","Świąteczne spotkanie graczy różnych TCG z mini-turniejami i wymianą kart.","event","Katowice","Other","2025-12-23T14:00:00","2025-12-23T20:00:00",50